time,speed,throttle,rpm,brake,gear,engine_temp,fuel_rate,GRA_FOC_ACTIVE
2024-01-01 00:00:00,67.45071229516849,32.12551734139125,2664.378412334679,0,5,89.44975289577887,11.580917889261954,1
2024-01-01 00:00:01,57.92603548243223,10.301919444220609,2280.3525312751226,1,5,82.62334857377353,13.410971313786398,0
2024-01-01 00:00:02,69.71532807151038,7.180754544546919,3351.4013223465918,0,1,99.79342858604758,12.153622590450489,0
2024-01-01 00:00:03,82.84544784612038,9.427597789893605,1805.196206464865,1,5,93.00633512942666,11.061887418549045,0
2024-01-01 00:00:04,56.48769937914996,58.28693611920428,2812.512397202182,0,3,90.72183822491303,8.582688302514292,0
2024-01-01 00:00:05,56.487945645762295,5.166217582898969,1212.4582890459812,0,5,88.84454959684584,7.228668631574163,1
2024-01-01 00:00:06,83.68819223261087,33.69268749640384,2064.5183036492153,1,4,89.15322321521406,12.822444792156642,0
2024-01-01 00:00:07,71.51152093729362,75.31997019142294,2386.006243086803,0,5,91.45663058074489,8.860498846975347,0
2024-01-01 00:00:08,52.95788421097572,29.43481665153781,3767.706945340499,0,1,97.01519846164383,5.612048928352075,0
2024-01-01 00:00:09,68.13840065378947,76.33080771801298,3481.675617082988,0,4,86.56016385640707,9.796220769609192,1
2024-01-01 00:00:10,53.04873460781307,74.54670382070553,2612.2457213104303,0,1,91.35864720601298,11.575116666145451,0
2024-01-01 00:00:11,53.01405369644615,24.582713263321633,3510.5588565908256,0,3,81.90948232869157,5.230384665423972,0
2024-01-01 00:00:12,63.629434073490515,72.88221800927455,3621.336074366278,1,3,94.06369889534389,12.051210760182588,1
2024-01-01 00:00:13,31.300796330133032,74.77766382721008,2887.534606137695,0,1,91.71373690035261,7.246830177007376,0
2024-01-01 00:00:14,34.12623251230451,39.745392566702684,2030.9352990504167,0,3,89.48579437870151,7.223572424879831,0
2024-01-01 00:00:15,51.56568706138541,21.042048374151822,2854.46138295372,0,1,79.18439818263475,10.62881508332206,0
2024-01-01 00:00:16,44.80753319498364,52.12708068918691,2931.4753163795044,1,2,87.13540277966042,8.372942091735947,0
2024-01-01 00:00:17,64.71370998892911,92.13975880001964,2137.281926418842,0,5,85.3038208548514,9.505837375461088,1
2024-01-01 00:00:18,46.37963886718184,63.9616732432062,3256.9327550509774,0,2,85.42935079617276,10.130425491472018,1
2024-01-01 00:00:19,38.81544447997062,17.29224976272612,3195.8682980116487,0,3,80.71793222871644,14.210231713984697,0
2024-01-01 00:00:20,81.98473153382331,68.275692473352,3311.5298899259305,0,1,88.17100262890935,7.049005681153862,0
2024-01-01 00:00:21,56.61335549270196,42.720302728183455,3195.2461680172105,0,1,99.10634407420967,9.643071272556124,0
2024-01-01 00:00:22,61.012923070318855,59.1528797355373,3510.890124580488,0,1,93.54542929405596,12.859870711139047,0
2024-01-01 00:00:23,38.62877720679815,73.4064035023108,2874.4703804888777,0,1,90.26462585890303,7.051672105646948,1
2024-01-01 00:00:24,51.834259132122256,51.49473515144448,3141.249575159667,1,5,92.75008331141267,5.823816879474042,0
2024-01-01 00:00:25,61.663838845647994,81.39839745733086,2721.5818010281278,0,4,100.9608508990604,5.177645057095569,0
2024-01-01 00:00:26,42.73509633866546,72.21555793166277,2590.850549064635,1,2,84.99595757883458,6.03732998672982,0
2024-01-01 00:00:27,65.63547027518509,61.50733400185106,3936.774741533453,0,3,86.09665237774338,7.74590538740889,0
2024-01-01 00:00:28,50.99041965121793,15.079281583235149,1569.3619089314525,0,1,87.56471106136672,9.09256445199023,0
2024-01-01 00:00:29,55.62459375310085,83.59491109115683,3613.7319924079848,0,2,82.92134203136914,10.937739100376069,0
2024-01-01 00:00:30,50.97440081655905,93.5905585319816,2565.6213871880377,0,4,91.60772484645975,7.000905105968339,0
2024-01-01 00:00:31,87.78417276763406,13.696512380929482,2474.973275649815,0,2,88.46505145866847,7.69695726441162,0
2024-01-01 00:00:32,59.79754162893099,48.82411294334305,3183.104238845785,0,3,93.12062744426206,11.990804395995601,0
2024-01-01 00:00:33,44.13433606566149,25.88887419705045,1957.273271354298,0,1,94.1617530565757,14.090079433630219,0
2024-01-01 00:00:34,72.33817368154783,75.45233074255646,2428.783849637658,0,3,96.59769728726144,6.355147477409716,0
2024-01-01 00:00:35,41.68734525043467,72.16296360047,2405.6022474409056,0,1,93.61529076904488,9.72515121616565,1
2024-01-01 00:00:36,63.132953925071334,14.088512057039871,2845.0212192704334,0,4,88.11671265729309,7.954178904105046,1
